"venue_id","name","capacity","grass","city","state","zip","country_code","location.x","location.y","elevation","year_constructed","dome","timezone"
3905,"Romney Stadium", 25513,FALSE,"Logan","UT","84322","US",  41.751739,-111.811601,"1427.914429",1968,FALSE,"America/Denver"
3906,"Roos Field",  8500,FALSE,"Cheney","WA","99004","US",  47.492780,-117.587353,"750.2774658",1967,FALSE,"America/Los_Angeles"
1056,"Rose Bowl", 88565,FALSE,"Pasadena","CA","90095","US",  34.161328,-118.167646,"245.1772461",1922,FALSE,"America/Los_Angeles"
3907,"Ross-Ade Stadium", 57282,FALSE,"West Lafayette","IN","47907","US",  40.435225, -86.918684,"197.5337677",1924,FALSE,"America/Indiana/Indianapolis"
3908,"Roy Kidd Stadium", 20000,FALSE,"Richmond","KY","40475","US",  37.734411, -84.297285,"298.1834717",1969,FALSE,"America/New_York"
3909,"Roy Stewart Stadium", 16800,FALSE,"Murray","KY","42071","US",  36.621516, -88.317553,"152.6495667",1973,FALSE,"America/Chicago"
3911,"Ryan Field", 47130,FALSE,"Evanston","IL","60208","US",  42.065399, -87.692475,"181.2376099",1926,FALSE,"America/Chicago"
3912,"Rynearson Stadium", 30200,FALSE,"Ypsilanti","MI","48197","US",  42.256126, -83.647285,"241.248764",1969,FALSE,"America/Detroit"
3913,"Saluki Stadium", 15000,FALSE,"Carbondale","IL","62901","US",  37.708637, -89.216212,"126.7586365",2010,FALSE,"America/Chicago"
3914,"Sam Boyd Stadium", 36800,FALSE,"Whitney","NV","89154","US",  36.085935,-115.017310,"490.0622253",1971,FALSE,"America/Los_Angeles"
3917,"Sanford Stadium", 92746,TRUE,"Athens","GA","30602","US",  33.949820, -83.373381,"186.1120758",1929,FALSE,"America/New_York"
3919,"Scheumann Stadium", 22500,FALSE,"Muncie","IN","47306","US",  40.215942, -85.416115,"285.481781",1967,FALSE,"America/Indiana/Indianapolis"
3921,"Schoellkopf Field", 21500,FALSE,"Ithaca","NY","14850","US",  42.443902, -76.478540,"257.3187561",1915,FALSE,"America/New_York"
3923,"Scott Stadium", 61500,FALSE,"Charlottesville","VA","22904","US",  38.031180, -78.513790,"170.4677429",1931,FALSE,"America/New_York"
3925,"Seibert Stadium",  6700,FALSE,"Homewood","AL","35229","US",  33.463273, -86.795326,"208.0207825",1958,FALSE,"America/Chicago"
3926,"Setzler Field",  4000,NA,"Newberry","SC","29108","US",  34.286133, -81.622539,"160.5950775",1922,FALSE,NA
3927,"Sherman Field",  4684,NA,"Houghton","MI",NA,"US",NA,NA,NA,NA,FALSE,NA
6577,"SHI Stadium", 52454,NA,"Piscataway","NJ","08854","US",  40.546255, -74.466041,NA,NA,FALSE,NA
3928,"Shotwell Stadium", 15075,FALSE,"Abilene","TX","79602","US",  32.433692, -99.698625,"530.4555664",1959,FALSE,"America/Chicago"
